"","tweet","city","movie","day","Sentiment_Score"
"1","@iTIGERSHROFF. Just saw Baaghi movie..Its unique good action movie. Not like other bollywood movie hide and seek behind tree.","Boston","Baaghi","05.03.2016",0.935553936610102
"2","BOLLYWOOD: Movie Review: Tiger’s mean moves apart, Baaghi’ is a dud https://t.co/LNEnYFtXto","Boston","Baaghi","05.03.2016",0.0168295276425763
"3","Review: ‘Baaghi,’ a Bollywood Rebel Tale in Search of a Cause: Fists and feet fly in this movie with... https://t.co/Gv5t0tcbZr NY Times","New York City","Baaghi","05.03.2016",0.68802494174505
"4","Review: ‘Baaghi,’ a Bollywood Rebel Tale in Search of a Cause: Fists and feet fly in this movie with the usua... https://t.co/hnKyLDiwiZ","New York City","Baaghi","05.03.2016",0.413750380041704
"5","FRIDAY MOVIE DATE | BAAGHI REVIEW: https://t.co/UrZVuQqjxj via @YouTube","New York City","Baaghi","05.03.2016",0.928836940990191
"6","first baaghi had the most cliche ass plot, the actor basically played the same character as last time and made the same(but worse) movie","New York City","Baaghi","05.03.2016",0.00349427966847157
"7","@Sudharsan_ak @kamaalrkhan who cares about this guy saying baaghi is a super flop movie? This is his job to criticize movies.","New York City","Baaghi","05.03.2016",0.689765991921692
"8","#FilmReview | #TigerShroff shines in the mindless action movie that is #Baaghi https://t.co/ILjq6H14kR #Bollywood https://t.co/horzCUggbp","New York City","Baaghi","05.03.2016",0.581803666553653
"9","BOLLYWOOD/HOLLYWOOD MASALA: BAAGHI - Rubber Man of Bollywood ""TIGER SHROFF"" https://t.co/UVNpzvCGTY #baaghi movie review #shraddhakapoor ??","New York City","Baaghi","05.03.2016",0.854044700200138
"10","Baaghi Movie Review - NDTV https://t.co/ZDVTNc0cxA","New York City","Baaghi","05.03.2016",0.840027974383986
"11","Baaghi movie review: First half of Tiger Shroff, Shraddha Kapoor film is enjoyable - The Indian Express https://t.co/Xx092hT99C","New York City","Baaghi","05.03.2016",0.741496626553305
"12","BAAGHI had a good opening weekend in the US and Canada, despite being a silly movie. My report: https://t.co/NcVVtuxyfo","Chicago","Baaghi","05.03.2016",0.454742443098027
