"","tweet","city","movie","day","Sentiment_Score"
"1","also the CGI sunglasses reflections in A BIGGER SPLASH were a fantastic, low-key touch in a movie full of great details","New York City","A Bigger Splash","05.10.2016",0.936212174654731
"2","Opening Friday: A BIGGER SPLASH https://t.co/XCuOiKMSqH https://t.co/h8jn6kBani","New York City","A Bigger Splash","05.10.2016",0.284378650701282
"3","Movie Review ""A Bigger Splash"" co-starring Ralph Fiennes https://t.co/Ko8w27wKSl","New York City","A Bigger Splash","05.10.2016",0.188002366238818
"4","Movie Review ""A Bigger Splash"" co-starring Ralph Fiennes https://t.co/Ye0EN9uFxP","New York City","A Bigger Splash","05.10.2016",0.276626674526763
"5","Movie Review ""A Bigger Splash"" co-starring Ralph Fiennes https://t.co/YEbptbaJ4D","New York City","A Bigger Splash","05.10.2016",0.273832029519081
"6","@TheOriginalRhi Thank you so much for my movie day. Mother's Day was great and A Bigger Splash was good too. Twisted, but good.<ed><U+00A0><U+00BD><ed><U+00B2><U+0090><ed><U+00A0><U+00BD><ed><U+00B8><U+0080>","New York City","A Bigger Splash","05.10.2016",0.998040111547084
"7","Movie Review ""A Bigger Splash"" starring Tilda Swinton https://t.co/Ko8w27wKSl","New York City","A Bigger Splash","05.10.2016",0.426317584458947
"8","Movie Review ""A Bigger Splash"" starring Tilda Swinton https://t.co/Ye0EN9uFxP","New York City","A Bigger Splash","05.10.2016",0.554268006543075
"9","A Bigger Splash https://t.co/3QVK40yhM6 #Movies #Movie https://t.co/F0MyEgj4th","Los Angeles","A Bigger Splash","05.10.2016",0.478706908112668
"10","RT @ShockYa: A Bigger Splash Movie Review https://t.co/30BVQMxeSW","Los Angeles","A Bigger Splash","05.10.2016",0.666981628493726
"11","A Bigger Splash Movie Review https://t.co/30BVQMxeSW","Los Angeles","A Bigger Splash","05.10.2016",0.802145285718475
"12","Can't get the Rolling Stones' Emotional Rescue out of my head now. Great song. &amp; A Bigger Splash was a great movie! https://t.co/1ecBAi9asO","Los Angeles","A Bigger Splash","05.10.2016",0.98049225585433
"13","Win Run-Of-Engagement Passes To See A BIGGER SPLASH In St. Louis - We Are Movie Geeks https://t.co/SJMYURQPGq","St. Louis ","A Bigger Splash","05.10.2016",0.637384949349677
"14","Just saw @hologramforking A Hologram for the King #TomHanks movie. Based on a novel by #DaveEggers Worth a watch.","Seattle","A Hologram for the King","05.10.2016",0.777565108781822
"15","RT @indiewire: How Rob Reiner survived 20 years of bad movie making https://t.co/z5XIxCufzn https://t.co/7Cb8r7o5EW","New York City","Being Charlie","05.10.2016",0.383836841371275
"16","Rob Reiner on the Reality TV Portrayal of Trump and New Movie ‘Being Charlie’ https://t.co/6loFigRC5o","Los Angeles","Being Charlie","05.10.2016",0.682294856587539
"17","RT @ktlaENT: #RobReiner on the Reality TV Portrayal of #Trump2016 &amp; New Movie #BeingCharlie  https://t.co/jRMLSV0Sv2 https://t.co/hb0UmB4UlJ","Los Angeles","Being Charlie","05.10.2016",0.541997629261505
"18","#RobReiner on the Reality TV Portrayal of #Trump2016 &amp; New Movie #BeingCharlie  https://t.co/jRMLSV0Sv2 https://t.co/hb0UmB4UlJ","Los Angeles","Being Charlie","05.10.2016",0.540283444269119
"19","RT @aarontrites: Finally saw Civil War. Captain America is a better movie Superman than Superman has been for years.","Boston","Captain America: Civil War","05.10.2016",0.651012206730848
"20","I have about 18393927 things I want to express about Captain America: Civil War. 
That movie was B R I L L I A N T","Boston","Captain America: Civil War","05.10.2016",0.344128928519204
"21","RT @ClintSmithIII: Captain America: Civil War might have been the best Marvel movie I've ever seen. Also, this Black Panther movie is about…","Boston","Captain America: Civil War","05.10.2016",0.725725631591042
"22","Finally saw Civil War. Captain America is a better movie Superman than Superman has been for years.","Boston","Captain America: Civil War","05.10.2016",0.68652706927286
"23","RT @wingmandateapp: That Scarlett Johansson 'Black Widow' Movie Is Totally Going To Happen https://t.co/qK9llL5V53","Boston","Captain America: Civil War","05.10.2016",0.0413981099876514
"24","That Scarlett Johansson 'Black Widow' Movie Is Totally Going To Happen https://t.co/qK9llL5V53","Boston","Captain America: Civil War","05.10.2016",0.0425927781214587
"25","New blog post: Weekend movie consumption (CAPTAIN AMERICA: CIVIL WAR, SISTERS, TRAINWRECK): https://t.co/ryCcidw3V7","Boston","Captain America: Civil War","05.10.2016",0.718241720250138
"26","RT @BostonGlobe: Movie Review | <U+2605><U+2605><U+2605> ""Captain America: Civil War"" is absurd comic-book fun https://t.co/mOh30m1Rxg https://t.co/t1IiBZnU8h","Boston","Captain America: Civil War","05.10.2016",0.503671499582523
"27","I liked a @YouTube video from @joblocom https://t.co/8DGMUmJ4fW CAPTAIN AMERICA: CIVIL WAR Featurette - Team Cap (2016) Marvel Movie","Boston","Captain America: Civil War","05.10.2016",0.940146839849363
"28","I liked a @YouTube video from @ghostrobo https://t.co/XnZx64YYVP Captain America Civil War Review: THE BEST MARVEL MOVIE EVER??","Boston","Captain America: Civil War","05.10.2016",0.980977380333988
"29","Movie Review: #CaptainAmericaCivilWar https://t.co/9xwbha0gbe The best Avengers movie of all. #TeamCap  #TeamIronMan https://t.co/vbnQ5jLviJ","Boston","Captain America: Civil War","05.10.2016",0.990326779088841
"30","Captain America: Civil War … I knew from the first 10minutes of this movie I would love it. A+++++++++++++++++++++++++++++++++++++++++++++++","Boston","Captain America: Civil War","05.10.2016",0.863382612041328
"31","“Captain America: Civil War” is a thrilling, engaging celebration of superhero culture.  https://t.co/DupwpPgpNR https://t.co/Eq5KxlpUb8","Boston","Captain America: Civil War","05.10.2016",0.977146967701829
"32","#nowplaying #movies Today in Movie Culture: Civil War Era 'Captain America,' Al... https://t.co/F1UGIpSIhV #news https://t.co/iFbxQGmSe5","New York City","Captain America: Civil War","05.10.2016",0.856539976063017
"33","#nowplaying #movies Today in Movie Culture: Civil War Era 'Captain America,' Al... https://t.co/F1UGIpSIhV #news https://t.co/cjhIUsfNoF","New York City","Captain America: Civil War","05.10.2016",0.867394452752174
"34","Captain America: Civil War. Anyways, hands down, best superhero movie ever. Tom Holland was born to play Spiderman.","New York City","Captain America: Civil War","05.10.2016",0.996018777264593
"35","RT @IndustryFixxMag: @SADADAY @PHADEFOZZY 
#NewMixCd
@SCURRYLIFEDVD x @DJLGee
""Movie Madness 55""
#IndustrFixx
https://t.co/ahFol177Xu https…","New York City","Captain America: Civil War","05.10.2016",0.644768887772614
"36","RT @JohanssonReport: That Scarlett Johansson 'Black Widow' Movie Is Totally Going To Happen https://t.co/btE8SbB3xl","New York City","Captain America: Civil War","05.10.2016",0.0944656155226916
"37","That Scarlett Johansson 'Black Widow' Movie Is Totally Going To Happen https://t.co/btE8SbB3xl","New York City","Captain America: Civil War","05.10.2016",0.0676773899610051
"38","RT @businessinsider: The new Captain America movie has the 5th best opening ever at the box office https://t.co/YMW8xsaS1U https://t.co/5SR…","New York City","Captain America: Civil War","05.10.2016",0.965863323758739
"39","RT @BI_Entertain: Why the great 'Captain America: Civil War' might save the superhero movie https://t.co/v1kx1A65FO https://t.co/NbM2z1SmEW","New York City","Captain America: Civil War","05.10.2016",0.386483869291765
"40","RT @BI_Entertain: #CaptainAmericaCivilWar is the movie #BatmanvSuperman wanted to be https://t.co/uQ5BJNaxlr https://t.co/G5vmyDKgmQ","New York City","Captain America: Civil War","05.10.2016",0.160433319615385
"41","RT @BI_Entertain: The new Captain America movie has the 5th best opening ever at the box office https://t.co/4ejUQ3gTA4 https://t.co/7GrYPm…","New York City","Captain America: Civil War","05.10.2016",0.960639806760844
"42","Civil War Captain America Was Lit Af I wanted To stay in the movie theater and see it again","New York City","Captain America: Civil War","05.10.2016",0.552254288898943
"43","RT @copromote: Captain America: Civil War Is the Avengers Movie Age of Ultron Should've Been via @io9 https://t.co/K40EUiKMEe https://t.co/…","New York City","Captain America: Civil War","05.10.2016",0.793874800171366
"44","Me and Matt just saw Captain America Civil War. It was a very good movie ! We stayed until after the credits to... https://t.co/3uOqvWSVK9","New York City","Captain America: Civil War","05.10.2016",0.97919624441652
"45","Captain America Civil War (Non Spoiler/Spoiler) Movie Review: https://t.co/g3gb9ZgEyo via @YouTube","New York City","Captain America: Civil War","05.10.2016",0.81917024840921
"46","RT @JADubin5: Thought this was a genius move when I saw the movie: https://t.co/9ra5jtNlEa (Note: Extremely minor Cap: Civil War spoiler he…","New York City","Captain America: Civil War","05.10.2016",0.845746849649097
"47","RT @yidwithlid: 'Captain America Civil War': Superhero Movie or Political Commentary? https://t.co/RYDLFlZTJr","New York City","Captain America: Civil War","05.10.2016",0.492764093935988
"48","Thought this was a genius move when I saw the movie: https://t.co/9ra5jtNlEa (Note: Extremely minor Cap: Civil War spoiler here)","New York City","Captain America: Civil War","05.10.2016",0.904245646951691
"49","'Captain America Civil War': Superhero Movie or Political Commentary? https://t.co/RYDLFlZTJr","New York City","Captain America: Civil War","05.10.2016",0.431586745456546
"50","The link to captain america civil war lmao im a savage https://t.co/SjInvS0Xqt","New York City","Captain America: Civil War","05.10.2016",0.22641266494734
"51","RT @DAlter007: #BlackPanther is the Boba Fett in this movie. Steals the show ""Black Panther Wins Marvel's Civil War"" - @Forbes  https://t.c…","New York City","Captain America: Civil War","05.10.2016",0.580581333512805
"52","My inner eleven year old thought the Captain America Civil War was the best. movie. ever!!!!! Make mine Marvel.","New York City","Captain America: Civil War","05.10.2016",0.982058505549862
"53","Captain America Civil War is a good ass movie","New York City","Captain America: Civil War","05.10.2016",0.93692712473723
"54","RT @DJ_Pilla: Read this fancy lil movie review I wrote. https://t.co/xxSBCXmaHX","New York City","Captain America: Civil War","05.10.2016",0.548266898941158
"55","#film 9 Ways Captain America: Civil War Is the Best Marvel Movie Yet... https://t.co/2VIykSfAOs https://t.co/LZQhlMcR6i","New York City","Captain America: Civil War","05.10.2016",0.933090543911805
