"","tweet","city","movie","day","Sentiment_Score"
"1","Movie Review: Keanu https://t.co/0GCZyi7rdy https://t.co/O6HjwlBaA5","Boston","Keanu","05.05.2016",0.936702810606184
"2","RT @PeteBlackburn: Somehow Keanu, a movie about fake gangsters trying to rescue a kitten, was stupider than I expected","Boston","Keanu","05.05.2016",0.0813693989758693
"3","RT @Tribeca: Key and Peele's subversive intelligence powers the comedy duo's gleefully-absurd #KEANU. https://t.co/EKnyjGUklc https://t.co/…","New York City","Keanu","05.05.2016",0.320886072255445
"4","#71 KEANU  I guess I missed the joke , seemed like a better as a sketch than a whole movie #366days #366movies #DLMChallenge","New York City","Keanu","05.05.2016",0.0215229106402411
"5","RT @Tribeca: Who can resist a cute kitten that dodges bullets in slow-mo and dresses like 50 Cent? https://t.co/EKnyjGUklc #KEANU https://t…","New York City","Keanu","05.05.2016",0.478591184736019
"6","Key and Peele's subversive intelligence powers the comedy duo's gleefully-absurd #KEANU. https://t.co/EKnyjGUklc https://t.co/K9yDI9eu6x","New York City","Keanu","05.05.2016",0.450694942118747
"7","RT @Tribeca: A new master of filmic nightmares returns with GREEN ROOM, a work of remarkable intensity. https://t.co/EKnyjGUklc https://t.c…","New York City","Keanu","05.05.2016",0.711596534156227
"8","#Marvel Grierson &amp; Leitch Episode 15: Captain America: Civil War, Keanu, and a Summer Movie Preview - New Repub... https://t.co/RABWKt4kJU","New York City","Keanu","05.05.2016",0.35702728455828
"9","RT @RollingStone: Key and Peele's #Keanu is the funniest cat movie this spring. Our review https://t.co/t5ihPCT3AO https://t.co/U9rROvP18H","New York City","Keanu","05.05.2016",0.95529643604489
"10","A new master of filmic nightmares returns with GREEN ROOM, a work of remarkable intensity. https://t.co/EKnyjGUklc https://t.co/eEpOIiwlFI","New York City","Keanu","05.05.2016",0.73166074452633
"11","@NaughtyNiceRob it was beat by Keanu the kitty movie. Never bet against kittens and gangsters","New York City","Keanu","05.05.2016",0.266315800088035
"12","Hope #CodeSwitchTheMovie (Keanu) is last project @JasonMitch doesnt get top billing to appear in. (movie had its moments) #BestActor","New York City","Keanu","05.05.2016",0.0222591226582718
"13","RT @Tribeca: See the greatest film from the world's best animation studio tonight at @MetrographNYC. https://t.co/EKnyjGUklc https://t.co/4…","New York City","Keanu","05.05.2016",0.779402613555133
"14","RT @seap0ny: Lowkey kinda mad my friends saw that movie Keanu without me.. @vivaa_ladee @lupealmighty <ed><U+00A0><U+00BD><ed><U+00B2><U+00A7>","Chicago","Keanu","05.05.2016",0.211480172856604
"15","Lowkey kinda mad my friends saw that movie Keanu without me.. @vivaa_ladee @lupealmighty <ed><U+00A0><U+00BD><ed><U+00B2><U+00A7>","Chicago","Keanu","05.05.2016",0.343672818523906
"16","RT @WGCI: This movie looks hilarious! Enter to win tickets to an advanced screening of @KeanuMovie https://t.co/yiniYxD7F4 https://t.co/HiG…","Chicago","Keanu","05.05.2016",0.927084600234209
"17","you guys HAVE to watch Keanu it's a funny as movie!!","Chicago","Keanu","05.05.2016",0.902502015141009
"18","Yes, I am the asshole pu the gun under your seat at the movie theater. #KEANU","Chicago","Keanu","05.05.2016",0.718886837480722
"19","Movie Night with Mom! A gangsta kitten! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B0><U+00B1> #KEANU","Chicago","Keanu","05.05.2016",0.886624458474796
"20","Keanu movie was fun to watch with Aristides. He did eat 95% of popcorn but I drank 80% of soda. Muahaha!","New Orleans","Keanu","05.05.2016",0.310505693981329
"21","#KEANU FULL REVIEW

https://t.co/3iyRlZQf8n https://t.co/A8GvNtKkEN","Los Angeles","Keanu","05.05.2016",0.574499608898283
"22","Someone take me to go see that movie KEANU <ed><U+00A0><U+00BD><ed><U+00B0><U+00BE>","Los Angeles","Keanu","05.05.2016",0.536736511172278
"23","Movie Review: Keanu Kitnaps Hearts https://t.co/sQtcbQSMz3 via @SassyMamainLA","Los Angeles","Keanu","05.05.2016",0.620363406842141
"24","The latest @griersonleitch podcast is up. We dig into ""Captain America: Civil War"" and preview summer movie season. https://t.co/7DrLS4P5TK","Los Angeles","Keanu","05.05.2016",0.709221372820621
"25","RT @KingBach: My homies movie is out in theaters NOW!! It's hilarious! @JordanPeele @KeeganMKey #KEANU https://t.co/u383HfRckN","Los Angeles","Keanu","05.05.2016",0.824864893780842
"26","RT @THR: The making of #Keanu: How @KeyAndPeele wrangled 7 shelter kittens for their movie https://t.co/iBaR9dXI9q https://t.co/qb3JYm2QQH","Los Angeles","Keanu","05.05.2016",0.291038769993855
"27","At one point during Keanu, I said ""oh god"" out loud just because of how cute the cat is, which is really all I wanted from that movie.","Los Angeles","Keanu","05.05.2016",0.867669502091358
"28","RT @chrismunoz__: I just watched Keanu and from here on out every movie needs a kitten protagonist","Los Angeles","Keanu","05.05.2016",0.140984032946441
